Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
FAIL TO REGISTER W/IN 10 DAYS,730 ILCS 148/10(b),730 ILCS 148/10,F4,,ARSONIST FAILURE TO REGISTER,Arsonist,
ASSAULT,720 ILCS 5/12-1(a),720 ILCS 5/12-1(a),MA,,ASSAULT,,
AGG ASLT/OP MOTOR VEH/PC OFF,720 ILCS 5/12-2(c)(8),720 ILCS 5/12-2(c)(8),F3,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/DISCHARGE FIREARM,720 ILCS 5/12-2(c)(2),720 ILCS 5/12-2(c)(2),F4,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/USE FIR/PEACE OFF,720 ILCS 5/12-2(c)(6),720 ILCS 5/12-2(c)(6),F4,,ASSAULT: AGGRAVATED,,
AGG ASLT/OP MOTOR VEH/STRUCK,720 ILCS 5/12-2(c)(7),720 ILCS 5/12-2(c)(7),F4,,ASSAULT: AGGRAVATED,,
AGGRAVATED ASSAULT,720 ILCS 5/12-2,720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGGRAVATED ASSAULT/PUBLIC PROP,720 ILCS 5/12-2(a),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/DEADLY WEAPON,720 ILCS 5/12-2(a)(1),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/DISCHARGE FIREARM,720 ILCS 5/12-2(a)(13),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/CORRECTIONAL EMP,720 ILCS 5/12-2(a)(15),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/OFFICER/FIREARM,720 ILCS 5/12-2(a)(6),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT PC OFFICER/FIREMAN,720 ILCS 5/12-2(a)(6),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/PEACE OFFICER,720 ILCS 5/12-2(a)(6),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASSAULT/PUBLIC PLACE,720 ILCS 5/12-2(a)(9),720 ILCS 5/12-2(a),MA,,ASSAULT: AGGRAVATED,,
AGG ASLT/PEACE OFFICER/WEAPON,720 ILCS 5/12-2(b)(4),720 ILCS 5/12-2(b)(4),MA,,ASSAULT: AGGRAVATED,,
AGG ASLT PC OFFICER/VOLUNTEER,720 ILCS 5/12-2(b)(4),720 ILCS 5/12-2(b)(4),MA,,ASSAULT: AGGRAVATED,,
AGG ASLT/USE DDLY WEAP/RIFLE,720 ILCS 5 12-2(c)(1) [16214],720 ILCS 5/12-2(c)(1),MA,,ASSAULT: AGGRAVATED,,
AGG ASLT/USE DDLY WEAP/RIFLE,720 ILCS 5/12-2(c)(1),720 ILCS 5/12-2(c)(1),MA,,ASSAULT: AGGRAVATED,,
ATTMPT FOIL/DEFEAT SCREEN TEST,720 ILCS 5/17-57(a)(2),720 ILCS 5/17-57(a)(2),F4,,ATTEMPT TO FOIL DRUG SCREENING TEST,,
DECEPTIVE PRACT/BAD CHECK/>150,720 ILCS 5/17-1(B)(d),720 ILCS 5/17-1(B)(d),MA,,BAD CHECK,,
BATTERY,38-12-3,720 ILCS 5/12-3,MA,,BATTERY,,
BATTERY,720 ILCS 5/12-3,720 ILCS 5/12-3,MA,,BATTERY,,
BATTERY/CAUSE BODILY HARM,720 ILCS 5 12-3(a)(1) [10529],720 ILCS 5/12-3,MA,,BATTERY,,
BATTERY/CAUSE BODILY HARM,720 ILCS 5/12-3(a)(1),720 ILCS 5/12-3,MA,,BATTERY,,
BATTERY/MAKES PHYSICAL CONTACT,720 ILCS 5 12-3(a)(2) [10530],720 ILCS 5/12-3,MA,,BATTERY,,
BATTERY/MAKES PHYSICAL CONTACT,720 ILCS 5/12-3(a)(2),720 ILCS 5/12-3,MA,,BATTERY,,
AGG BTRY/UNBORN CHILD/DISABL,720 ILCS 5/12-3.1(a-5),720 ILCS 5/12-3.1(a-5),F2,,BATTERY OF AN UNBORN CHILD,,
BATTERY/UNBORN CHILD,720 ILCS 5/12-3.1,720 ILCS 5/12-3.1(a),MA,,BATTERY OF AN UNBORN CHILD,,
AGG BATTERY/GREAT BODILY HARM,720 ILCS 5/12-3.05(a)(1),720 ILCS 5/12-3.05(a)(1),F1,,BATTERY: AGGRAVATED,,
AGG BATT/GREAT BOD HARM,,720 ILCS 5/12-3.05(a)(1),F1,,BATTERY: AGGRAVATED,,
AGG BATTERY/GREAT BODILY HARM,720 ILCS 5/12-4(a),720 ILCS 5/12-3.05(a)(1),F1,,BATTERY: AGGRAVATED,,
AGG BATT/HARM/POLICE/DOC/DHS,720 ILCS 5/12-4(a),720 ILCS 5/12-3.05(a)(1),F1,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY:GREAT BODILY HARM,720 ILCS 5/12-4(a),720 ILCS 5/12-3.05(a)(1),F1,,BATTERY: AGGRAVATED,,
AGG BTRY/HARM/PEACE OFFICER,720 ILCS 5/12-4(b)(18),720 ILCS 5/12-3.05(a)(1),F1,,BATTERY: AGGRAVATED,,
AGG BTRY/GREAT BOD HARM/PC OFF,720 ILCS 5 12-3.05(a)(3) [16096],720 ILCS 5/12-3.05(a)(3),F1,,BATTERY: AGGRAVATED,,
AGG BTRY/GREAT BOD HARM/PC OFF,720 ILCS 5/12-3.05(a)(3),720 ILCS 5/12-3.05(a)(3),F1,,BATTERY: AGGRAVATED,,
AGG BATT/HARM/PEACE OFF,,720 ILCS 5/12-3.05(a)(3),F1,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/STRANGLE,720 ILCS 5/12-3.05(a)(5),720 ILCS 5/12-3.05(a)(5),F1,,BATTERY: AGGRAVATED,,
AGG BTRY/STRANGLE/GRT BOD HARM,720 ILCS 5/12-3.05(a)(5),720 ILCS 5/12-3.05(a)(5),F1,,BATTERY: AGGRAVATED,,
AGG BTRY/STRANGLE/DANG INSTRUM,720 ILCS 5/12-3.05(a)(5),720 ILCS 5/12-3.05(a)(5),F1,,BATTERY: AGGRAVATED,,
AGG BTRY/GREAT BOD HARM/60+,720 ILCS 5/12-3.05(a)(4),720 ILCS 5/12-3.05(a)(4),F2,,BATTERY: AGGRAVATED,,
AGG BATTERY/PEACE OFFICER,720 ILCS 5 12-3.05(d)(4) [16108],720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/PEACE OFFICER,,720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGG BATTERY/POLICE/SHERIFF EMPOLYEE,720 ILCS 5/12-4-b-17,720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGG BTRY/OFFICER/EMPL/GOVT,720 ILCS 5/12-4(b)(18),720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGG BATTERY/EMP GOVT/SCHOOL,720 ILCS 5/12-4(b)(18),720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY:PEACE OFFICER/VOULENTEER,720 ILCS 5/12-4(b)(6,720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-4(b)(6),720 ILCS 5/12-3.05(d)(4),F2,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY,720 ILCS 5/12-3.05,720 ILCS 5/12-3.05,F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/PUBLIC PLACE,720 ILCS 5/12-3.05(c),720 ILCS 5/12-3.05,F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY,38-12-4,720 ILCS 5/12-3.05,F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY,720 ILCS 5/12-4,720 ILCS 5/12-3.05,F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY SILENCER USED PERSON INJURED,720 ILCS 5/12-4.2-5(a)(1),720 ILCS 5/12-3.05,F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/PUBLIC PLACE,720 ILCS 5/12-4(b)(8),720 ILCS 5/12-3.05,F3,,BATTERY: AGGRAVATED,,
AGG BTRY/CHIL <13/BOD HARM,720 ILCS 5/12-3.05(b)(2),720 ILCS 5/12-3.05(b)(2),F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/VICTIM 60+,720 ILCS 5 12-3.05(d)(1) [16105],720 ILCS 5/12-3.05(d)(1),F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/VICTIM 60+,720 ILCS 5/12-3.05(d)(1),720 ILCS 5/12-3.05(d)(1),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY SR CITIZEN >60 YRS,720 ILCS 5/12-4.6(b),720 ILCS 5/12-3.05(d)(1),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/INDIV OVER 60 YRS,720 ILCS 5/12-4(b)(10),720 ILCS 5/12-3.05(d)(1),F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/NURSE,720 ILCS 5/12-3.05(d)(11),720 ILCS 5/12-3.05(d)(11),F3,,BATTERY: AGGRAVATED,,
AGG BTRY/PREGNANT/HANDICAPPED,720 ILCS 5/12-3.05(d)(2),720 ILCS 5/12-3.05(d)(2),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/JUDGE/EMT,720 ILCS 5/12-3.05(d)(5),720 ILCS 5/12-3.05(d)(5),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/GOVERNMENT EMP,720 ILCS 5/12-3.05(d)(6),720 ILCS 5/12-3.05(d)(6),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/TRANSIT EMPLOYEE,720 ILCS 5/12-3.05(d)(7),720 ILCS 5/12-3.05(d)(7),F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/MERCHANT,720 ILCS 5 12-3.05(d)(9) [16113],720 ILCS 5/12-3.05(d)(9),F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY/MERCHANT,720 ILCS 5/12-3.05(d)(9),720 ILCS 5/12-3.05(d)(9),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/USE DEADLY WEAPON,720 ILCS 5/12-3.05(f)(1),720 ILCS 5/12-3.05(f)(1),F3,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY:USE WEAPON,720 ILCS 5/12-4(b)(1),720 ILCS 5/12-3.05(f)(1),F3,,BATTERY: AGGRAVATED,,
AGG BATTERY/WEAPON/NO FIREARM,720 ILCS 5/12-4(b)(1),720 ILCS 5/12-3.05(f)(1),F3,,BATTERY: AGGRAVATED,,
AGG BTRY/LASER DVC ON FIREARM,720 ILCS 5/12-3.05(f)(3),720 ILCS 5/12-3.05(f)(3),F3,,BATTERY: AGGRAVATED,,
AGG BTRY/CORR EMP/CNT BLOOD,720 ILCS 5/12-3.05(g)(3),720 ILCS 5/12-3.05(g)(3),F3,,BATTERY: AGGRAVATED,,
AGG BTRY/GRT BOD HARM/FLAM SUB,720 ILCS 5/12-3.05(a)(2),720 ILCS 5/12-3.05(a)(2),FX,,BATTERY: AGGRAVATED,,
AGG BTRY/CHILD <13/PERM DISABL,720 ILCS 5/12-3.05(b)(1),720 ILCS 5/12-3.05(b)(1),FX,,BATTERY: AGGRAVATED,,
AGG BATTERY/DISCHARGE FIREARM,720 ILCS 5 12-3.05(e)(1) [16114],720 ILCS 5/12-3.05(e)(1),FX,,BATTERY: AGGRAVATED,,
AGG BATTERY/DISCHARGE FIREARM,720 ILCS 5/12-3.05(e)(1),720 ILCS 5/12-3.05(e)(1),FX,,BATTERY: AGGRAVATED,,
AGGRAVATED BATTERY W/FIREARM,720 ILCS 5/12-4.2,720 ILCS 5/12-3.05(e)(1),FX,,BATTERY: AGGRAVATED,,
AGG BATTERY W/FIREARM/PERSON,720 ILCS 5/12-4.2(a),720 ILCS 5/12-3.05(e)(1),FX,,BATTERY: AGGRAVATED,,
AGG BATTERY W/FIREARM/PERSON,720 ILCS 5/12-4.2(a)(1),720 ILCS 5/12-3.05(e)(1),FX,,BATTERY: AGGRAVATED,,
AGG BTRY/FIREARM/OFF/FIREMAN,720 ILCS 5/12-4.2(a)(2),720 ILCS 5/12-3.05(e)(1),FX,,BATTERY: AGGRAVATED,,
BRIBE/ PERSONNEL CODE,20 ILCS 415/13(2),720 ILCS 5/33-1,F2,,BRIBERY,,
BRIBERY/OFFER BRIBE,720 ILCS 5/33-1(a),720 ILCS 5/33-1,F2,,BRIBERY,,
BURGLARY/SCH/DAY CARE/WORSHIP,720 ILCS 5/19-1(a),720 ILCS 5/19-1,F2,,BURGLARY,,
BURGLARY,720 ILCS 5/19-1(a),720 ILCS 5/19-1,F2,,BURGLARY,,
BURGLARY SCHOOL OR PLACE OF WORSHIP,720 ILCS 5/19-1(a),720 ILCS 5/19-1,F2,,BURGLARY,,
BURGLARY/SCHOOL/PLACE WORSHIP,720 ILCS 5/19-1(a),720 ILCS 5/19-1,F2,,BURGLARY,,
BURGLARY TO AN AUTO,,720 ILCS 5/19-1,F2,,BURGLARY,,
BURGLARY,720 ILCS 5 19-1(a) [1110000],720 ILCS 5/19-1(a),F2,,BURGLARY,,
BURGLARY,,720 ILCS 5/19-1(a),F2,,BURGLARY,,
ACCIDENT INJURY/DEATH/11-403,625 ILCS 5 11-401(a) [13482],625 ILCS 5/11-401(a),F4,,CAUSE ACCIDENTAL INJURY OR DEATH,,
ACCIDENT INJURY/DEATH/11-403,625 ILCS 5/11-401(a),625 ILCS 5/11-401(a),F4,,CAUSE ACCIDENTAL INJURY OR DEATH,,
CHILD ABDUCTN/LURE <16 YRS VEH,720 ILCS 5/10-5(b)(10),720 ILCS 5/10-5(b)(10),F3,,CHILD ABDUCTION,,
CHILD ABDUCTN/CONCEAL/DETAIN,720 ILCS 5/10-5(b)(1),720 ILCS 5/10-5(b)(1),F4,,CHILD ABDUCTION,,
CHIL ABDUCTN/LURE CHIL/VIC <17,720 ILCS 5/10-5(b)(10)(A),720 ILCS 5/10-5(b)(10)(A),F4,,CHILD ABDUCTION,,
CAUSE CHILD/ENDANGERED/2+,720 ILCS 5/12C-5(a)(1),720 ILCS 5/12C-5(2+),F3,,CHILD ENDANGERMENT,,
CAUSE CHILD ENDANGERED/DEATH,720 ILCS 5/12C-5(a)(1),720 ILCS 5/12C-5(death),F3,,CHILD ENDANGERMENT,,
ENDANGER CHILD/CAUSE DEATH,720 ILCS 5/12-21.6(a),720 ILCS 5/12C-5(death),F3,,CHILD ENDANGERMENT,,
ENDANGER LIFE/HEALTH CHILD,720 ILCS 5/12-21.6(a),720 ILCS 5/12C-5,MA,,CHILD ENDANGERMENT,"Class 3: 2nd offense, death of child",
ENDANGERING LIFE OF CHILD,720 ILCS 150/4,720 ILCS 5/12C-5,MA,,CHILD ENDANGERMENT,,
CAUSE CHILD TO BE ENDANGERED,720 ILCS 5/12C-5(a)(1),720 ILCS 5/12C-5,MA,,CHILD ENDANGERMENT,,
CHILD PORNOGRAPHY/PHOTOGRAPH,720 ILCS 5/11-20.1(a)(1),720 ILCS 5/11-20.1(a)(1),F1,,CHILD PORNOGRAPHY,,
CHILD PORN/SX ORGAN/MOUTH/ANUS,720 ILCS 5/11-20.1(a)(1)(ii),720 ILCS 5/11-20.1(a)(1),F1,,CHILD PORNOGRAPHY,,
CHILD PORN/REPRODUCE/SELL,720 ILCS 5/11-20.1(a)(2),720 ILCS 5/11-20.1(a)(2),F1,,CHILD PORNOGRAPHY,,
CHILD PORN/PRODUCES PERFORM,720 ILCS 5/11-20.1(a)(3),720 ILCS 5/11-20.1(a)(3),F1,,CHILD PORNOGRAPHY,,
CHILD PORN/SOL CHILD/PHOTO,720 ILCS 5/11-20.1(a)(4),720 ILCS 5/11-20.1(a)(4),F1,,CHILD PORNOGRAPHY,,
CHILD PORN/SOL/CHILD/APPEAR,720 ILCS 5/11-20.1(a)(4),720 ILCS 5/11-20.1(a)(4),F1,,CHILD PORNOGRAPHY,,
CHILD PORN/POSS FILM/PHOTOS,720 ILCS 5/11-20.1(a)(6),720 ILCS 5/11-20.1(a)(6),F3,,CHILD PORNOGRAPHY,,
AGG CHILD PORN/POSS FILM/PHOTO,720 ILCS 5/11-20.1B(a)(6),720 ILCS 5/11-20.1(a)(6),F3,,CHILD PORNOGRAPHY,,
CHILD PORN/POSS PHOTO/VIC <13,720 ILCS 5/11-20.1(a)(6),720 ILCS 5/11-20.1(a)(6)(<13),F3,,CHILD PORNOGRAPHY,,
CHILD PORN/POSS/MOVING DPTN,720 ILCS 5/11-20.1(a)(6),720 ILCS 5/11-20.1(a)(6)(move),F3,,CHILD PORNOGRAPHY,,
CHILD PORNOGRAPHY/VICTIM <13,720 ILCS 5/11-20.1(a)(1),720 ILCS 5/11-20.1(a)(1)(<13),FX,,CHILD PORNOGRAPHY,,
CHILD PORN/FILM/TAPE/PHOTO/ACT,720 ILCS 5/11-20.1(a)(1),720 ILCS 5/11-20.1(a)(1)(move),FX,,CHILD PORNOGRAPHY,,
CHILD PORN/PERS/ANIM/MOV DPTN,720 ILCS 5/11-20.1(a)(1)(i),720 ILCS 5/11-20.1(a)(1)(move),FX,,CHILD PORNOGRAPHY,,
CHILD PORN/REPRODUCE/VIC <13,720 ILCS 5/11-20.1(a)(2),720 ILCS 5/11-20.1(a)(2)(<13),FX,,CHILD PORNOGRAPHY,,
CHILD PORN/REPRODUCE/MOV DPTN,720 ILCS 5/11-20.1(a)(2),720 ILCS 5/11-20.1(a)(2)(move),FX,,CHILD PORNOGRAPHY,,
CHIL SEX OFFEN/RESIDE DAY CARE,720 ILCS 5/11-9.3(b-10),720 ILCS 5/11-9.3,F4,,CHILD SEXUAL OFFENDER ILLEGAL RESIDENCE,,
CHILD SEX OFFENDER/RESIDE 500',720 ILCS 5/11-9.3(b-5),720 ILCS 5/11-9.3,F4,,CHILD SEXUAL OFFENDER ILLEGAL RESIDENCE,,
CONCEAL/AID FUGITIVE,720 ILCS 5/31-5,720 ILCS 5/31-5,F4,,CONCEAL / AID A FUGITIVE,,
CONCEAL HOMICIDAL DEATH,720 ILCS 5/9-3.4(a),720 ILCS 5/9-3.4(a),F3,,CONCEALMENT OF A HOMICIDAL DEATH,,
CONCEAL DEATH OF PERSON,720 ILCS 5/9-3.5(b),720 ILCS 5/9-3.5(b),F4,,CONCEALMENT OF DEATH OF A PERSON,,
CONSPIRACY TO COMMIT FRAUD,720 ILCS 5/46-3(a),720 ILCS 5/8-2(c)(3)(B),F1,,CONSPIRACY / AGGRAVATED INSURANCE FRAUD,,
CRIMINAL DRUG CONSPIRACY,720 ILCS 570/401,720 ILCS 5/8-2(c)(1)(A),F1,,CONSPIRACY / FRAUD,,
INSURANCE FRAUD CONSPIRACY,720 ILCS 5/45-3(a),720 ILCS 5/8-2(c)(4),F2,,CONSPIRACY / INSURANCE FRAUD,720 ILCS 5/8-2 for conspiracy and 720 ILCS 5/17-10.5 for insurance fraud,
STREETGANG CONTACT/PAROLE,720 ILCS 5/25-1.1(a)(4),720 ILCS 5/25-5,MA,,CONTACT WITH A STREET GANG WHILE ON PAROLE,,
STREETGANG CONTACT/PROBATION,720 ILCS 5/25-5(a)(1),720 ILCS 5/25-5,MA,,CONTACT WITH A STREET GANG WHILE ON PAROLE,,
STREETGANG CONTACT/PAROLE,720 ILCS 5 25-5(A)(4),720 ILCS 5/25-5,MA,,CONTACT WITH A STREET GANG WHILE ON PAROLE,,
STREETGANG CONTACT/PAROLE,720 ILCS 5/25-5(a)(4),720 ILCS 5/25-5,MA,,CONTACT WITH A STREET GANG WHILE ON PAROLE,,
DIRECT CRIMINAL CONTEMPT,720 ILCS 5 1-3 [11142],720 ILCS 5/1-3,CONTEMPT,,CONTEMPT,,
INDIRECT CIVIL CONTEMPT,720 ILCS 5/1-3,720 ILCS 5/1-3,CONTEMPT,,CONTEMPT,,
DIRECT CIVIL CONTEMPT,720 ILCS 5/1-3,720 ILCS 5/1-3,CONTEMPT,,CONTEMPT,,
INDIRECT CRIMINAL CONTEMPT,720 ILCS 5/1-3,720 ILCS 5/1-3,CONTEMPT,,CONTEMPT,,
DIRECT CRIMINAL CONTEMPT,720 ILCS 5/1-3,720 ILCS 5/1-3,CONTEMPT,,CONTEMPT,,
CONTEMPT OF COURT,,,CONTEMPT,,CONTEMPT OF COURT,,
POSSESS CONTRABAND PENAL INST,720 ILCS 5/31A-1.1,720 ILCS 5/31A-1.1,F1,,CONTRABAND IN A PENAL INSTITUTION,,
BRING/POSS CONTRA PENAL INST,720 ILCS 5/31A-1.1,720 ILCS 5/31A-1.1,F1,,CONTRABAND IN A PENAL INSTITUTION,,
POSS ELEC CONTRA PENAL INST,720 ILCS 5/31A-1.1(b),720 ILCS 5/31A-1.1,F1,,CONTRABAND IN A PENAL INSTITUTION,,
POSS CONTROLLED SUB PENAL INST,720 ILCS 5/31A-1.1(b),720 ILCS 5/31A-1.1(d)(3-4),F1,,CONTRABAND IN A PENAL INSTITUTION,"Depends on schedule of controlled substance, assumed worst",
WEAPON INTO PENAL INSTITUTION,720 ILCS 5/31A-1.1(2)(i),720 ILCS 5/31A-1.1(d)(6),F1,,CONTRABAND IN A PENAL INSTITUTION,,
BRING WEAPON IN A PENAL INST,720 ILCS 5/31A-1.1(a)(1),720 ILCS 5/31A-1.1(d)(6),F1,,CONTRABAND IN A PENAL INSTITUTION,,
POSSESS WEAPON IN PENAL INST,720 ILCS 5/31A-1.1(b),720 ILCS 5/31A-1.1(d)(6),F1,,CONTRABAND IN A PENAL INSTITUTION,,
POSS WEAPON/TOOL PENAL INST,720 ILCS 5/31A-1.1(b)(2),720 ILCS 5/31A-1.1(d)(6),F1,,CONTRABAND IN A PENAL INSTITUTION,,
BRING CANNABIS IN A PENAL INST,720 ILCS 5/31A-1.1(a)(1),720 ILCS 5/31A-1.1(d)(2),F3,,CONTRABAND IN A PENAL INSTITUTION,,
ALCOHOL INTO PENAL INSTITUTION,720 ILCS 5/31A-1.1(2)(d),720 ILCS 5/31A-1.1(d)(1),F4,,CONTRABAND IN A PENAL INSTITUTION,,
MISD ESCAPE/PEACE OFFICER,720 ILCS 5/31-6(c),720 ILCS 5/31-6(c-6),MA,,CONTRABAND IN A PENAL INSTITUTION,,
CONTRABAND IN NON-STATE PENAL INST:BRING INTO,38-31A-1(a)(1),720 ILCS 5/31A-1.1,FX,"4, 3, 2, 1",CONTRABAND IN A PENAL INSTITUTION,Depends entirely on what contraband is brought in; not specified,
