Inmateid,Bookingid,Last Admission Date,InmateLast,Inmatefirst,Gender,Race,Age at booking,Days in Custody from Last Admission Date,casedisposition,ChargeDescription,Statute,ChargeCrimeType,CurrentBond,TotalBond,City,Zip
1935199143,1398330878,4/23/09,,,Male,Black,34,2595,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,,60643
1935199143,1398330878,4/23/09,,,Male,Black,34,2595,Dropped,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),,$0 ,,60643
1935198387,1398323760,5/14/09,,,Male,Black,41,2574,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$800,000 ",Chicago,60600
1935198387,1398323760,5/14/09,,,Male,Black,41,2574,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$300,000 ","$800,000 ",Chicago,60600
1935198387,1398323760,5/14/09,,,Male,Black,41,2574,Case Continued,SOLICITATION/MURDER,720 ILCS 5/8-1.1(a),Class X Felony,$0 ,"$800,000 ",Chicago,60600
1935198387,1398323760,5/14/09,,,Male,Black,41,2574,Case Continued,AGG CRIM SEX ASLT/BODILY HARM,720 ILCS 5/11-1.30(a)(2),Class X Felony,$0 ,"$800,000 ",Chicago,60600
1935198387,1398323760,5/14/09,,,Male,Black,41,2574,Case Continued,WEAPON INTO PENAL INSTITUTION,720 ILCS 5/31A-1.1(2)(i),Class 1 Felony,"$500,000 ","$800,000 ",Chicago,60600
1935198387,1398323760,5/14/09,,,Male,Black,41,2574,Case Continued,AGG CRIM SEX ASSAULT/FELONY,720 ILCS 5/11-1.30(a)(4),Class X Felony,$0 ,"$800,000 ",Chicago,60600
1935193867,1398324413,5/23/09,,,Male,Hispanic Black,30,2565,Stricken With Leave to Reinstate,PUBLIC INDECENCY/DEVIATE COND,720 ILCS 5/11-9(a)(2),Class A Misdemeanor,,$0 ,,
1935193867,1398324413,5/23/09,,,Male,Hispanic Black,30,2565,Case Continued,Agg Uuw W/Body Armor/Private,720 ILCS 5/24-1.6(a)(1),,$0 ,$0 ,,
1935193867,1398324413,5/23/09,,,Male,Hispanic Black,30,2565,Case Continued,Unlawful Use/Possession Of Weapon:Felon Prisoner,720 ILCS 5/24-1.1,Class X Felony,$0 ,$0 ,,
1935193867,1398324413,5/23/09,,,Male,Hispanic Black,30,2565,Stricken With Leave to Reinstate,,,,$0 ,$0 ,,
1935193867,1398324413,5/23/09,,,Male,Hispanic Black,30,2565,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,,
1935193867,1398324413,5/23/09,,,Male,Hispanic Black,30,2565,Case Continued,Illegal Possession Of Controlled Substances,720 ILCS 570/402,Class X Felony,$0 ,$0 ,,
1935192066,1398329443,8/11/09,,,Male,Black,36,2485,Case Continued,Aggravated Criminal Sexual Assault:Weapon,720 ILCS 5/12-14(a)(1),,$0 ,$0 ,Chicago,60637
1935192307,1398328473,1/8/10,,,Male,Black,40,2335,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chgo,60612
1935199101,1398327954,2/4/10,,,Male,Black,39,2308,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$10,000,000 ","$24,000,000 ",Dolton,60419
1935199101,1398327954,2/4/10,,,Male,Black,39,2308,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$1,000,000 ","$24,000,000 ",Dolton,60419
1935199101,1398327954,2/4/10,,,Male,Black,39,2308,Case Continued,Poss Firearm/No Foid/Eligible,430 ILCS 65/2(a)(1),Class 3 Felony,"$1,000,000 ","$24,000,000 ",Dolton,60419
1935199101,1398327954,2/4/10,,,Male,Black,39,2308,Case Continued,AGG BTRY/OFFICER/EMPL/GOVT,720 ILCS 5/12-4(b)(18),Class 2 Felony,"$250,000 ","$24,000,000 ",Dolton,60419
1935199270,1398328511,3/5/10,,,Male,Black,53,2279,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Cicero,60804
1935194868,1398324364,5/19/10,,,Male,Latino,30,2204,Time Considered Served,Driving W/Suspended License,95.5-6-210,Class C Misdemeanor,,"$50,000 ",Chicago,60629
1935194868,1398324364,5/19/10,,,Male,Latino,30,2204,Case Continued,RIFLE <16 IN/SHOTGUN <18 IN,720 ILCS 5/24-1(a)(7)(ii),Class 3 Felony,"$50,000 ","$50,000 ",Chicago,60629
1935194868,1398324364,5/19/10,,,Male,Latino,30,2204,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$50,000 ",Chicago,60629
1935198512,1398329146,6/3/10,,,Male,Black,27,2189,Case Continued,BATTERY/MAKES PHYSICAL CONTACT,720 ILCS 5/12-3(a)(2),Class A Misdemeanor,"$5,000 ","$1,555,000 ",Chicago,60639
1935198512,1398329146,6/3/10,,,Male,Black,27,2189,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$450,000 ","$1,555,000 ",Chicago,60639
1935198512,1398329146,6/3/10,,,Male,Black,27,2189,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$300,000 ","$1,555,000 ",Chicago,60639
1935198512,1398329146,6/3/10,,,Male,Black,27,2189,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$250,000 ","$1,555,000 ",Chicago,60639
1935198512,1398329146,6/3/10,,,Male,Black,27,2189,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$100,000 ","$1,555,000 ",Chicago,60639
1935198512,1398329146,6/3/10,,,Male,Black,27,2189,Bond Paid,PUB INDECENCY/SEX CONDUCT 3+,720 ILCS 5/11-30(a)(1),Class 4 Felony,,"$1,555,000 ",Chicago,60639
1935194491,1398323749,6/15/10,,,Male,Black,40,2177,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$950,000 ","$950,000 ",Calumet City,60409
1935193312,1398323941,6/16/10,,,Male,Black,41,2176,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chicago,60644
1935193312,1398323941,6/16/10,,,Male,Black,41,2176,Dropped,Fugitive From Justice,60-30,Class M Felony (Murder),,$0 ,Chicago,60644
1935198245,1398324530,6/18/10,,,Male,Latino,25,2174,Case Continued,Violation Of Probation Or Revocation,38-1005-4,Other,$0 ,$0 ,Chgo,60651
1935198245,1398324530,6/18/10,,,Male,Latino,25,2174,Case Continued,BRING/POSS CONTRA PENAL INST,720 ILCS 5/31A-1.1,Class 4 Felony,,$0 ,Chgo,60651
1935198245,1398324530,6/18/10,,,Male,Latino,25,2174,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chgo,60651
1935198487,1398327419,6/28/10,,,Male,Black,28,2164,Case Continued,First Degree Murder:Probable Death/Great Harm,720 ILCS 5/9-1(a)(2),Class M Felony (Murder),$0 ,"$50,000 ",Chgo,60627
1935198487,1398327419,6/28/10,,,Male,Black,28,2164,Case Continued,Aggravated Battery:Peace Officer/Voulenteer,720 ILCS 5/12-4(b)(6,Other,"$50,000 ","$50,000 ",Chgo,60627
1935198332,1398329524,7/3/10,,,Male,Black,32,2159,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$3,000,000 ","$3,000,000 ",E Chcgo,0
1935198332,1398329524,7/3/10,,,Male,Black,32,2159,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$3,000,000 ",E Chcgo,0
1935195997,1398325670,7/20/10,,,Male,Black,37,2142,Stricken With Leave to Reinstate,Harassment By Telephone,720 ILCS 135/1-1,Class 4 Felony,,$0 ,Chicago,60621
1935195997,1398325670,7/20/10,,,Male,Black,37,2142,Case Continued,Aggravated Criminal Sexual Assault:Victim >60,720 ILCS 5/12-14(a)(5),,$0 ,$0 ,Chicago,60621
1935193426,1398325697,7/20/10,,,Male,Black,33,2142,Stricken With Leave to Reinstate,Driving/No Lic/Canc,625 ILCS 5/6-101,Class B Misdemeanor,"$1,000 ","$176,000 ",Chgo Heights,60411
1935193426,1398325697,7/20/10,,,Male,Black,33,2142,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$175,000 ","$176,000 ",Chgo Heights,60411
1935197515,1398327858,7/28/10,,,Male,Black,26,2134,Case Continued,Agg Battery W/Firearm/Person,720 ILCS 5/12-4.2(a),,"$450,000 ","$900,000 ",Chicago,60612
1935196089,1398328114,8/27/10,,,Male,Black,33,2104,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),,$0 ,Blue Island,60406
1935196089,1398328114,8/27/10,,,Male,Black,33,2104,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Blue Island,60406
1935196089,1398328114,8/27/10,,,Male,Black,33,2104,Case Continued,Aggravated Kidnaping:Person Under 13 Or Retarded,720 ILCS 5/10-2(a)(2),,$0 ,$0 ,Blue Island,60406
1935196089,1398328114,8/27/10,,,Male,Black,33,2104,Case Continued,Unlawful Use Of Weapons:Sale/Use Of Bludgeon/Knife,720 ILCS 5/24-1(a)(1,Class 4 Felony,$0 ,$0 ,Blue Island,60406
1935192657,1398328673,8/30/10,,,Male,Black,45,2101,Probation Termination Unsatisfact.,Domestic Battery,38-12-3.2,Other,,$0 ,Chicago,60644
1935192657,1398328673,8/30/10,,,Male,Black,45,2101,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chicago,60644
1935197734,1398330418,9/3/10,,,Male,Black,34,2097,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$2,000,000 ","$4,100,000 ",Chgo,60628
1935197734,1398330418,9/3/10,,,Male,Black,34,2097,Case Continued,Manu/Del 01-15 Gr Cocaine/Anlg,720 ILCS 570/401(c)(2),,"$50,000 ","$4,100,000 ",Chgo,60628
1935197978,1398323414,10/7/10,,,Male,Black,33,2063,Ship to IDOC,HOME INVASION/ARMED W/FIREARM,720 ILCS 5/12-11(a)(3),Class X Felony,$0 ,"$500,000 ",Chgo,60617
1935197978,1398323414,10/7/10,,,Male,Black,33,2063,Ship to IDOC,Home Invasion,38-12-11,Other,$0 ,"$500,000 ",Chgo,60617
1935197978,1398323414,10/7/10,,,Male,Black,33,2063,NOLLE,Home Invasion Armed With Firearm,720 ILCS 5/12-11(a)(,,$0 ,"$500,000 ",Chgo,60617
1935197978,1398323414,10/7/10,,,Male,Black,33,2063,Ship to IDOC,Armed Robbery Armed With Firearm,720 ILCS 5/18-2(a)(2),,$0 ,"$500,000 ",Chgo,60617
1935199757,1398325694,10/15/10,,,Female,Black,39,2055,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chgo,60625
1935199761,1398325709,10/15/10,,,Male,Black,43,2055,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chgo,0
1935199802,1398326562,10/18/10,,,Male,Latino,38,2052,Case Continued,Aggravated Criminal Sexual Assault:Weapon,720 ILCS 5/12-14(a)(1),,$0 ,$0 ,Wichita,0
1935199916,1398328912,10/28/10,,,Male,White,64,2042,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$2,500,000 ","$2,500,000 ",Berwyn,60402
1935191653,1398326517,11/16/10,,,Male,Black,28,2023,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$100,000 ","$100,000 ",Chicago,60636
1935191653,1398326517,11/16/10,,,Male,Black,28,2023,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$100,000 ",Chicago,60636
1935199436,1398327004,11/18/10,,,Male,White,47,2021,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chicago,60618
1935191733,1398328463,11/24/10,,,Male,Hispanic White,57,2015,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$5,000,000 ","$5,000,000 ",Oak Forest,60452
1935191520,1398329299,11/28/10,,,Male,Black,42,2011,Stricken With Leave to Reinstate,Domestic Battery/Bodily Harm/Violation O/P,720 ILCS 5/12-3.2(a),,,$0 ,Broadview,60155
1935191520,1398329299,11/28/10,,,Male,Black,42,2011,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Broadview,60155
1935191817,1398331166,12/1/10,,,Male,Black,54,2008,Case Continued,CRIMINAL ABUSE/NEGLECT/DEATH,720 ILCS 5/12-21(a)(1),Class 2 Felony,"$2,000,000 ","$2,000,000 ",Chicago,60617
1935198848,1398326689,12/15/10,,,Male,Black,42,1994,Time Considered Served,Driving W/Suspended Or Revoked License Or Permit,95.5-6-303,Class 4 Felony,,"$2,600,000 ",Chicago,606
1935198848,1398326689,12/15/10,,,Male,Black,42,1994,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$100,000 ","$2,600,000 ",Chicago,606
1935198848,1398326689,12/15/10,,,Male,Black,42,1994,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$2,500,000 ","$2,600,000 ",Chicago,606
1935191989,1398327458,12/18/10,,,Male,Black,25,1991,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$1,000,000 ","$1,000,000 ",Park Forest,60466
1935192046,1398328591,12/23/10,,,Female,Black,23,1986,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$25,000 ","$25,000 ",Chicago,60637
1935192046,1398328591,12/23/10,,,Female,Black,23,1986,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,$0 ,"$25,000 ",Chicago,60637
1935192046,1398328591,12/23/10,,,Female,Black,23,1986,Defendant Examined and Discharged,Agg Battery W/Firearm/Person,720 ILCS 5/12-4.2(a),Class 2 Felony,$0 ,"$25,000 ",Chicago,60637
1935195577,1398328596,12/23/10,,,Male,Black,46,1986,Case Continued,FAIL REPORT CHANGE OF ADDRESS,730 ILCS 150/6,Class A Misdemeanor,,"$1,000,000 ",calumet city,60619
1935195577,1398328596,12/23/10,,,Male,Black,46,1986,Case Continued,Aggravated Criminal Sexual Assault/Firearm,720 ILCS 5/12-14(a)(8),,"$1,000,000 ","$1,000,000 ",calumet city,60619
1935192977,1398329716,12/28/10,,,Male,Black,33,1981,Case Continued,ARMED ROBBERY/ARMED W/FIREARM,720 ILCS 5/18-2(a)(2),Class X Felony,$0 ,$0 ,Chi,60643
1935192977,1398329716,12/28/10,,,Male,Black,33,1981,Sentence Expired,Battery,38-12-3,,,$0 ,Chi,60643
1935192977,1398329716,12/28/10,,,Male,Black,33,1981,Dropped,Armed Robbery Armed With Firearm,720 ILCS 5/18-2(a)(2),,,$0 ,Chi,60643
1935192977,1398329716,12/28/10,,,Male,Black,33,1981,Dropped,Burglary School Or Place Of Worship,720 ILCS 5/19-1(a),Class 1 Felony,,$0 ,Chi,60643
1935192977,1398329716,12/28/10,,,Male,Black,33,1981,Dropped,Armed Robbery,720 ILCS 5/18-2(a),Class X Felony,,$0 ,Chi,60643
1935192125,1398330222,12/30/10,,,Male,Black,24,1979,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chicago,60652
1935192125,1398330222,12/30/10,,,Male,Black,24,1979,Stricken With Leave to Reinstate,BATTERY,720 ILCS 5/12-3,Class A Misdemeanor,,$0 ,Chicago,60652
1935192213,1398329227,1/6/11,,,Male,Black,23,1972,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$500,000 ","$610,000 ",Chicago,60608
1935192213,1398329227,1/6/11,,,Male,Black,23,1972,Bond Paid,PUBLIC INDECENCY/LEWD EXPOSURE,720 ILCS 5/11-30(a)(2),Class A Misdemeanor,"$10,000 ","$610,000 ",Chicago,60608
1935192213,1398329227,1/6/11,,,Male,Black,23,1972,Case Continued,PUBLIC INDECENCY/LEWD EXPOSURE,720 ILCS 5/11-30(a)(2),Class A Misdemeanor,"$50,000 ","$610,000 ",Chicago,60608
1935199805,1398324092,1/19/11,,,Male,Hispanic White,39,1959,Case Continued,Murder,38-9,Class M Felony (Murder),$0 ,$0 ,Chgo,60618
1935199805,1398324092,1/19/11,,,Male,Hispanic White,39,1959,Case Continued,CRIM DMG/GOVT PROP/KNOW/<$500,720 ILCS 5/21-4(1)(a),Class 4 Felony,$0 ,$0 ,Chgo,60618
1935199359,1398325826,1/25/11,,,Male,Black,51,1953,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chgo,60628
1935192697,1398326444,1/27/11,,,Male,Black,29,1951,Case Continued,POSSESS CONTRABAND PENAL INST,720 ILCS 5/31A-1.1,Generic Code For Any Class,"$250,000 ","$1,250,000 ",Maywood,60153
1935192697,1398326444,1/27/11,,,Male,Black,29,1951,Stricken With Leave to Reinstate,,,,,"$1,250,000 ",Maywood,60153
1935192697,1398326444,1/27/11,,,Male,Black,29,1951,Case Continued,AGG BTRY/OFFICER/EMPL/GOVT,720 ILCS 5/12-4(b)(18),Class 2 Felony,"$1,000,000 ","$1,250,000 ",Maywood,60153
1935192697,1398326444,1/27/11,,,Male,Black,29,1951,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$1,250,000 ",Maywood,60153
1935195820,1398327249,1/30/11,,,Male,White,39,1948,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chicago,60610
1935192654,1398323430,2/15/11,,,Male,Black,27,1932,Probation Terminated Satisfactory,Manu/Del 10-15 Gr Heroin/Anlg,720 ILCS 570/401(c)(1),,$0 ,$0 ,Chicago,60623
1935192654,1398323430,2/15/11,,,Male,Black,27,1932,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),,$0 ,Chicago,60623
1935192654,1398323430,2/15/11,,,Male,Black,27,1932,Dropped,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),,$0 ,Chicago,60623
1935193121,1398327097,2/28/11,,,Male,Hispanic White,35,1919,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chciago,60608
1935192827,1398327104,2/28/11,,,Male,Latino,42,1919,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Chicago,60623
1935198331,1398331037,3/10/11,,,Male,Black,36,1909,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Hammand,0
1935192989,1398331039,3/10/11,,,Male,Black,26,1909,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$10,000 ",Calumet City,60409
1935192989,1398331039,3/10/11,,,Male,Black,26,1909,Stricken With Leave to Reinstate,,,,,"$10,000 ",Calumet City,60409
1935192989,1398331039,3/10/11,,,Male,Black,26,1909,Case Continued,PUBLIC INDECENCY/LEWD EXPOSURE,720 ILCS 5/11-30(a)(2),Class A Misdemeanor,"$10,000 ","$10,000 ",Calumet City,60409
1935195703,1398329992,4/4/11,,,Male,Black,44,1884,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,$0 ,Lancing,60430
1935193602,1398330939,4/8/11,,,Male,Black,31,1880,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$5,000,000 ","$5,000,000 ",Chicago,60637
1935193602,1398330939,4/8/11,,,Male,Black,31,1880,Sentenced Supervision,Domestic Battery/Bodily Harm/Violation O/P,720 ILCS 5/12-3.2(a)(1),,,"$5,000,000 ",Chicago,60637
1935192269,1398330961,4/8/11,,,Male,Black,37,1880,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$250,000 ",Chgo,60652
1935192269,1398330961,4/8/11,,,Male,Black,37,1880,Case Continued,AGG BATTERY/PEACE OFFICER,720 ILCS 5/12-3.05(d)(4),Class 2 Felony,"$250,000 ","$250,000 ",Chgo,60652
1935192269,1398330961,4/8/11,,,Male,Black,37,1880,Case Continued,MFG/DEL 1<15 GR COCAINE/ANLG,720 ILCS 570/401(c)(2),Class 1 Felony,$0 ,"$250,000 ",Chgo,60652
1935193502,1398325583,4/19/11,,,Male,Black,29,1869,Case Continued,Armed Robbery Armed With Firearm,720 ILCS 5/18-2(a)(2),,"$500,000 ","$1,000,000 ",Blue Island,60406
1935198960,1398325591,4/19/11,,,Male,Black,39,1869,Case Continued,Armed Robbery Armed With Firearm,720 ILCS 5/18-2(a)(2),,"$1,000,000 ","$1,000,000 ",Chicago,60406
1935192346,1398327551,4/26/11,,,Male,Black,30,1862,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$1,500,000 ","$1,540,000 ",Chicago Hgts,60411
1935192346,1398327551,4/26/11,,,Male,Black,30,1862,Case Continued,Poss Amt Con Sub Except(A)/(D),720 ILCS 570/402(c),Class 4 Felony,"$40,000 ","$1,540,000 ",Chicago Hgts,60411
1935192346,1398327551,4/26/11,,,Male,Black,30,1862,Case Dropped for Want of Prosecution,Murder,38-9,Class M Felony (Murder),$0 ,"$1,540,000 ",Chicago Hgts,60411
1935192346,1398327551,4/26/11,,,Male,Black,30,1862,Time Considered Served,Dui/Intoxicating Compound,625 ILCS 5/11-501(a)(3),Other,,"$1,540,000 ",Chicago Hgts,60411
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Case Continued,First Degree Murder:Intends Death/Great Harm,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),$0 ,"$260,000 ",Calumet City,60409
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Case Continued,CONCEAL HOMICIDAL DEATH,720 ILCS 5/9-3.4(a),Class 3 Felony,$0 ,"$260,000 ",Calumet City,60409
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Stricken With Leave to Reinstate,BATTERY/CAUSE BODILY HARM,720 ILCS 5/12-3(a)(1),Class A Misdemeanor,,"$260,000 ",Calumet City,60409
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Stricken With Leave to Reinstate,PUBLIC INDECENCY/EXPOSURE/3+,720 ILCS 5/11-30(a)(2),Class 4 Felony,$0 ,"$260,000 ",Calumet City,60409
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Case Continued,Theft:Obtains/Exerts Control-Intends To Deprive,720 ILCS 5/16-1(a)(1)(A),,$0 ,"$260,000 ",Calumet City,60409
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Case Continued,Battery,38-12-3,,"$10,000 ","$260,000 ",Calumet City,60409
1935196738,1398328252,4/29/11,,,Male,Black,25,1859,Case Continued,AGG BATT/HARM/POLICE/DOC/DHS,720 ILCS 5/12-4(a),Class 1 Felony,"$250,000 ","$260,000 ",Calumet City,60409
1935193637,1398328275,4/29/11,,,Female,Black,25,1859,Case Continued,MURDER/INTENT TO KILL/INJURE,720 ILCS 5/9-1(a)(1),Class M Felony (Murder),"$3,000,000 ","$3,000,000 ",Chicago,60655
